Produktivmandant                                                                              Line Items Extract                                                                             Time 16:46:26     Date  20.12.2024
Gütersloh         Ledger 0L                                                                                                                                                                  RFBPET00/RHUELITL Page           1

	CoCd	DocumentNo				Type		Pstng Date			Period	Year		Doc. Date	Entry Date		User Name		Reference
	BusA	Itm	PK	SG	Tx		PayT		AccTy	Account			D/C	      Amount in LC		Crcy		      Amount in FC		Crcy	D/C	   LC tax amount	Crcy	      Tax Amount	Crcy	Name 1	City	Short Text

	3800	900011369				RV		05.04.2018			     4	2018		05.04.2018	06.04.2018		SAPBTC_APPL		0082536700
		 36	40						S	6601050			S	            43.08		MXN		             2.29		USD
		 37	50						S	3000127			H	-43.08		MXN		-2.29		USD
		 38	50		A0				S	4001402			H	-1,571.34		MXN		-83.52		USD
		 39	40						S	6601050			S	            15.80		MXN		             0.84		USD
		 40	50						S	3000127			H	-15.80		MXN		-0.84		USD
		 41	50		A0				S	4001402			H	-1,571.34		MXN		-83.52		USD
		 42	40						S	6601050			S	            15.80		MXN		             0.84		USD
		 43	50						S	3000127			H	-15.80		MXN		-0.84		USD
		 44	50		A0				S	4001402			H	-1,327.51		MXN		-70.56		USD
		 45	40						S	6601050			S	            13.36		MXN		             0.71		USD
		 46	50						S	3000127			H	-13.36		MXN		-0.71		USD
		 47	50		A0				S	4001402			H	-2,655.02		MXN		-141.12		USD
		 48	40						S	6601050			S	            26.53		MXN		             1.41		USD
		 49	50						S	3000127			H	-26.53		MXN		-1.41		USD
		 50	50		A0				S	4001402			H	-1,571.34		MXN		-83.52		USD
		 51	40						S	6601050			S	            15.80		MXN		             0.84		USD
		 52	50						S	3000127			H	-15.80		MXN		-0.84		USD
		 53	50		A0				S	4001402			H	-1,327.51		MXN		-70.56		USD
		 54	40						S	6601050			S	            13.36		MXN		             0.71		USD
		 55	50						S	3000127			H	-13.36		MXN		-0.71		USD
		 56	50		A0				S	4001402			H	-1,327.51		MXN		-70.56		USD
		 57	40						S	6601050			S	            13.36		MXN		             0.71		USD
		 58	50						S	3000127			H	-13.36		MXN		-0.71		USD
		 59	50		A0				S	4001402			H	-785.67		MXN		-41.76		USD
		 60	40						S	6601050			S	             7.90		MXN		             0.42		USD
		 61	50						S	3000127			H	-7.90		MXN		-0.42		USD

	3800	900014502				RV		27.04.2018			     4	2018		27.04.2018	28.04.2018		SAPBTC_APPL		0082559990
		  1	01		A0		R029		D	29060000			S	       894,743.18		MXN		        47,557.56		USD
		  2	50		A0				S	4000302			H	-140,464.56		MXN		-7,466.00		USD
		  3	40						S	6601050			S	         1,404.65		MXN		            74.66		USD
		  4	50						S	3000127			H	-1,404.65		MXN		-74.66		USD
		  5	50		A0				S	4000102			H	-157,765.84		MXN		-8,385.60		USD
		  6	40						S	6601050			S	         1,577.73		MXN		            83.86		USD
		  7	50						S	3000127			H	-1,577.73		MXN		-83.86		USD
		  8	50		A0				S	4000102			H	-150,541.30		MXN		-8,001.60		USD
		  9	40						S	6601050			S	         1,505.49		MXN		            80.02		USD
		 10	50						S	3000127			H	-1,505.49		MXN		-80.02		USD
		 11	50		A0				S	4001402			H	-69,000.35		MXN		-3,667.52		USD
		 12	40						S	6601050			S	           690.09		MXN		            36.68		USD
		 13	50						S	3000127			H	-690.09		MXN		-36.68		USD
		 14	50		A0				S	4000602			H	-137,623.68		MXN		-7,315.00		USD
		 15	40						S	6601050			S	         1,376.24		MXN		            73.15		USD
		 16	50						S	3000127			H	-1,376.24		MXN		-73.15		USD
		 17	50		A0				S	4001402			H	-4,978.16		MXN		-264.60		USD
		 18	40						S	6601050			S	            49.86		MXN		             2.65		USD
		 19	50						S	3000127			H	-49.86		MXN		-2.65		USD
		 20	50		A0				S	4001402			H	-4,978.16		MXN		-264.60		USD
		 21	40						S	6601050			S	            49.86		MXN		             2.65		USD
		 22	50						S	3000127			H	-49.86		MXN		-2.65		USD
		 23	50		A0				S	4001402			H	-4,314.40		MXN		-229.32		USD
		 24	40						S	6601050			S	            43.08		MXN		             2.29		USD
		 25	50						S	3000127			H	-43.08		MXN		-2.29		USD
		 26	50		A0				S	4001402			H	-4,930.75		MXN		-262.08		USD
		 27	40						S	6601050			S	            49.29		MXN		             2.62		USD
		 28	50						S	3000127			H	-49.29		MXN		-2.62		USD
		 29	50		A0				S	4001402			H	-1,571.34		MXN		-83.52		USD
		 30	40						S	6601050			S	            15.80		MXN		             0.84		USD
		 31	50						S	3000127			H	-15.80		MXN		-0.84		USD
		 32	50		A0				S	4001402			H	-2,357.01		MXN		-125.28		USD
		 33	40						S	6601050			S	            23.52		MXN		             1.25		USD
		 34	50						S	3000127			H	-23.52		MXN		-1.25		USD
		 35	50		A0				S	4001402			H	-2,655.02		MXN		-141.12		USD
		 36	40						S	6601050			S	            26.53		MXN		             1.41		USD
		 37	50						S	3000127			H	-26.53		MXN		-1.41		USD
		 38	50		A0				S	4001402			H	-1,327.51		MXN		-70.56		USD
		 39	40						S	6601050			S	            13.36		MXN		             0.71		USD
		 40	50						S	3000127			H	-13.36		MXN		-0.71		USD
		 41	50		A0				S	4001402			H	-70,926.90		MXN		-3,769.92		USD
		 42	40						S	6601050			S	           709.28		MXN		            37.70		USD
		 43	50						S	3000127			H	-709.28		MXN		-37.70		USD
		 44	50		A0				S	4000602			H	-137,623.68		MXN		-7,315.00		USD
		 45	40						S	6601050			S	         1,376.24		MXN		            73.15		USD
		 46	50						S	3000127			H	-1,376.24		MXN		-73.15		USD
		 47	50		A0				S	4001402			H	-785.67		MXN		-41.76		USD
		 48	40						S	6601050			S	             7.90		MXN		             0.42		USD
		 49	50						S	3000127			H	-7.90		MXN		-0.42		USD
		 50	50		A0				S	4001402			H	-1,327.51		MXN		-70.56		USD
		 51	40						S	6601050			S	            13.36		MXN		             0.71		USD
		 52	50						S	3000127			H	-13.36		MXN		-0.71		USD
		 53	50		A0				S	4001402			H	-1,571.34		MXN		-83.52		USD
		 54	40						S	6601050			S	            15.80		MXN		             0.84		USD
		 55	50						S	3000127			H	-15.80		MXN		-0.84		USD

	3800	900014505				RV		27.04.2018			     4	2018		27.04.2018	28.04.2018		SAPBTC_APPL		0082558878
		  1	01		A0		R008		D	22090400			S	        49,759.00		MXN		         2,644.80		USD
		  2	50		A0				S	4004102			H	-49,759.00		MXN		-2,644.80		USD
		  3	40						S	6601050			S	           497.63		MXN		            26.45		USD
		  4	50						S	3000127			H	-497.63		MXN		-26.45		USD

	3800	900014661				RV		01.04.2018			     4	2018		01.04.2018	01.05.2018		SAPBTC_APPL		0082560797
		  1	01		A0		R029		D	29060000			S	       802,452.19		MXN		        43,893.74		USD
		  2	50		A0				S	4000102			H	-122,642.40		MXN		-6,708.48		USD
		  3	40						S	6601050			S	         1,226.34		MXN		            67.08		USD
		  4	50						S	3000127			H	-1,226.34		MXN		-67.08		USD
		  5	50		A0				S	4000102			H	-29,256.57		MXN		-1,600.32		USD
		  6	40						S	6601050			S	           292.51		MXN		            16.00		USD
		  7	50						S	3000127			H	-292.51		MXN		-16.00		USD
		  8	50		A0				S	4000102			H	-175,539.42		MXN		-9,601.92		USD
		  9	40						S	6601050			S	         1,755.41		MXN		            96.02		USD
		 10	50						S	3000127			H	-1,755.41		MXN		-96.02		USD
		 11	50		A0				S	4001402			H	-59,700.72		MXN		-3,265.60		USD
		 12	40						S	6601050			S	           597.08		MXN		            32.66		USD
		 13	50						S	3000127			H	-597.08		MXN		-32.66		USD
		 14	50		A0				S	4000602			H	-106,984.51		MXN		-5,852.00		USD
		 15	40						S	6601050			S	         1,069.85		MXN		            58.52		USD
		 16	50						S	3000127			H	-1,069.85		MXN		-58.52		USD
		 17	50		A0				S	4001402			H	-4,837.34		MXN		-264.60		USD
		 18	40						S	6601050			S	            48.45		MXN		             2.65		USD
		 19	50						S	3000127			H	-48.45		MXN		-2.65		USD
		 20	50		A0				S	4001402			H	-4,837.34		MXN		-264.60		USD
		 21	40						S	6601050			S	            48.45		MXN		             2.65		USD
		 22	50						S	3000127			H	-48.45		MXN		-2.65		USD
		 23	50		A0				S	4001402			H	-4,192.36		MXN		-229.32		USD
		 24	40						S	6601050			S	            41.87		MXN		             2.29		USD
		 25	50						S	3000127			H	-41.87		MXN		-2.29		USD
		 26	50		A0				S	4001402			H	-4,192.36		MXN		-229.32		USD
		 27	40						S	6601050			S	            41.87		MXN		             2.29		USD
		 28	50						S	3000127			H	-41.87		MXN		-2.29		USD
		 29	50		A0				S	4001402			H	-2,290.33		MXN		-125.28		USD
		 30	40						S	6601050			S	            22.85		MXN		             1.25		USD
		 31	50						S	3000127			H	-22.85		MXN		-1.25		USD
		 32	50		A0				S	4001402			H	-1,526.89		MXN		-83.52		USD
		 33	40						S	6601050			S	            15.36		MXN		             0.84		USD
		 34	50						S	3000127			H	-15.36		MXN		-0.84		USD
		 35	50		A0				S	4001402			H	-1,289.96		MXN		-70.56		USD
		 36	40						S	6601050			S	            12.98		MXN		             0.71		USD
		 37	50						S	3000127			H	-12.98		MXN		-0.71		USD
		 38	50		A0				S	4001402			H	-1,289.96		MXN		-70.56		USD
		 39	40						S	6601050			S	            12.98		MXN		             0.71		USD
		 40	50						S	3000127			H	-12.98		MXN		-0.71		USD
		 41	50		A0				S	4001402			H	-763.44		MXN		-41.76		USD
		 42	40						S	6601050			S	             7.68		MXN		             0.42		USD
		 43	50						S	3000127			H	-7.68		MXN		-0.42		USD
		 44	50		A0				S	4001402			H	-1,526.89		MXN		-83.52		USD
		 45	40						S	6601050			S	            15.36		MXN		             0.84		USD
		 46	50						S	3000127			H	-15.36		MXN		-0.84		USD
		 47	50		A0				S	4001402			H	-2,579.91		MXN		-141.12		USD
		 48	40						S	6601050			S	            25.78		MXN		             1.41		USD
		 49	50						S	3000127			H	-25.78		MXN		-1.41		USD
		 50	50		A0				S	4000302			H	-102,368.38		MXN		-5,599.50		USD
		 51	40						S	6601050			S	         1,023.78		MXN		            56.00		USD
		 52	50						S	3000127			H	-1,023.78		MXN		-56.00		USD
		 53	50		A0				S	4001402			H	-1,289.96		MXN		-70.56		USD
		 54	40						S	6601050			S	            12.98		MXN		             0.71		USD
		 55	50						S	3000127			H	-12.98		MXN		-0.71		USD
		 56	50		A0				S	4001402			H	-66,832.05		MXN		-3,655.68		USD
		 57	40						S	6601050			S	           668.38		MXN		            36.56		USD
		 58	50						S	3000127			H	-668.38		MXN		-36.56		USD
		 59	50		A0				S	4000602			H	-106,984.51		MXN		-5,852.00		USD
		 60	40						S	6601050			S	         1,069.85		MXN		            58.52		USD
		 61	50						S	3000127			H	-1,069.85		MXN		-58.52		USD
		 62	50		A0				S	4001402			H	-1,526.89		MXN		-83.52		USD
		 63	40						S	6601050			S	            15.36		MXN		             0.84		USD
		 64	50						S	3000127			H	-15.36		MXN		-0.84		USD

	3800	900014662				RV		01.04.2018			     4	2018		01.04.2018	01.05.2018		SAPBTC_APPL		0082560804
		  1	01		A0		R029		D	29060000			S	       632,510.62		MXN		        34,598.02		USD
		  2	50		A0				S	4000102			H	-122,642.41		MXN		-6,708.48		USD
		  3	40						S	6601050			S	         1,226.34		MXN		            67.08		USD
		  4	50						S	3000127			H	-1,226.34		MXN		-67.08		USD
		  5	50		A0				S	4000102			H	-30,660.60		MXN		-1,677.12		USD
		  6	40						S	6601050			S	           306.58		MXN		            16.77		USD
		  7	50						S	3000127			H	-306.58		MXN		-16.77		USD
		  8	50		A0				S	4000102			H	-29,256.57		MXN		-1,600.32		USD
		  9	40						S	6601050			S	           292.51		MXN		            16.00		USD
		 10	50						S	3000127			H	-292.51		MXN		-16.00		USD
		 11	50		A0				S	4000102			H	-87,769.71		MXN		-4,800.96		USD
		 12	40						S	6601050			S	           877.70		MXN		            48.01		USD
		 13	50						S	3000127			H	-877.70		MXN		-48.01		USD
		 14	50		A0				S	4000602			H	-53,492.25		MXN		-2,926.00		USD
		 15	40						S	6601050			S	           534.92		MXN		            29.26		USD
		 16	50						S	3000127			H	-534.92		MXN		-29.26		USD
		 17	50		A0				S	4001402			H	-4,146.29		MXN		-226.80		USD
		 18	40						S	6601050			S	            41.50		MXN		             2.27		USD
		 19	50						S	3000127			H	-41.50		MXN		-2.27		USD
		 20	50		A0				S	4001402			H	-4,146.29		MXN		-226.80		USD
		 21	40						S	6601050			S	            41.50		MXN		             2.27		USD
		 22	50						S	3000127			H	-41.50		MXN		-2.27		USD
		 23	50		A0				S	4001402			H	-3,593.45		MXN		-196.56		USD
		 24	40						S	6601050			S	            36.01		MXN		             1.97		USD
		 25	50						S	3000127			H	-36.01		MXN		-1.97		USD
		 26	50		A0				S	4001402			H	-3,593.45		MXN		-196.56		USD
		 27	40						S	6601050			S	            36.01		MXN		             1.97		USD
		 28	50						S	3000127			H	-36.01		MXN		-1.97		USD
		 29	50		A0				S	4001402			H	-763.44		MXN		-41.76		USD
		 30	40						S	6601050			S	             7.68		MXN		             0.42		USD
		 31	50						S	3000127			H	-7.68		MXN		-0.42		USD
		 32	50		A0				S	4001402			H	-1,526.89		MXN		-83.52		USD
		 33	40						S	6601050			S	            15.36		MXN		             0.84		USD
		 34	50						S	3000127			H	-15.36		MXN		-0.84		USD
		 35	50		A0				S	4001402			H	-1,289.96		MXN		-70.56		USD
		 36	40						S	6601050			S	            12.98		MXN		             0.71		USD
		 37	50						S	3000127			H	-12.98		MXN		-0.71		USD
		 38	50		A0				S	4001402			H	-1,289.96		MXN		-70.56		USD
		 39	40						S	6601050			S	            12.98		MXN		             0.71		USD
		 40	50						S	3000127			H	-12.98		MXN		-0.71		USD
		 41	50		A0				S	4001402			H	-1,526.89		MXN		-83.52		USD
		 42	40						S	6601050			S	            15.36		MXN		             0.84		USD
		 43	50						S	3000127			H	-15.36		MXN		-0.84		USD
		 44	50		A0				S	4001402			H	-1,289.96		MXN		-70.56		USD
		 45	40						S	6601050			S	            12.98		MXN		             0.71		USD
		 46	50						S	3000127			H	-12.98		MXN		-0.71		USD
		 47	50		A0				S	4000302			H	-102,368.38		MXN		-5,599.50		USD
		 48	40						S	6601050			S	         1,023.78		MXN		            56.00		USD
		 49	50						S	3000127			H	-1,023.78		MXN		-56.00		USD
		 50	50		A0				S	4001402			H	-46,842.10		MXN		-2,562.24		USD
		 51	40						S	6601050			S	           468.38		MXN		            25.62		USD
		 52	50						S	3000127			H	-468.38		MXN		-25.62		USD
		 53	50		A0				S	4001402			H	-1,289.96		MXN		-70.56		USD
		 54	40						S	6601050			S	            12.98		MXN		             0.71		USD
		 55	50						S	3000127			H	-12.98		MXN		-0.71		USD
		 56	50		A0				S	4001402			H	-53,256.79		MXN		-2,913.12		USD
		 57	40						S	6601050			S	           532.55		MXN		            29.13		USD
		 58	50						S	3000127			H	-532.55		MXN		-29.13		USD
		 59	50		A0				S	4000602			H	-80,238.38		MXN		-4,389.00		USD
		 60	40						S	6601050			S	           802.38		MXN		            43.89		USD
		 61	50						S	3000127			H	-802.38		MXN		-43.89		USD
		 62	50		A0				S	4001402			H	-1,526.89		MXN		-83.52		USD
		 63	40						S	6601050			S	            15.36		MXN		             0.84		USD
		 64	50						S	3000127			H	-15.36		MXN		-0.84		USD

	3800	900014916				RV		02.05.2018			     5	2018		02.05.2018	03.05.2018		SAPBTC_APPL		0082562536
		  1	01		A0		R029		D	29060000			S	       933,743.22		MXN		        49,973.68		USD
		  2	50		A0				S	4000302			H	-139,499.96		MXN		-7,466.00		USD
		  3	40						S	6601050			S	         1,395.00		MXN		            74.66		USD
		  4	50						S	3000127			H	-1,395.00		MXN		-74.66		USD
		  5	50		A0				S	4000102			H	-125,345.94		MXN		-6,708.48		USD
		  6	40						S	6601050			S	         1,253.37		MXN		            67.08		USD
		  7	50						S	3000127			H	-1,253.37		MXN		-67.08		USD
		  8	50		A0				S	4000102			H	-29,901.50		MXN		-1,600.32		USD
		  9	40						S	6601050			S	           298.96		MXN		            16.00		USD
		 10	50						S	3000127			H	-298.96		MXN		-16.00		USD
		 11	50		A0				S	4000102			H	-149,507.50		MXN		-8,001.60		USD
		 12	40						S	6601050			S	         1,495.15		MXN		            80.02		USD
		 13	50						S	3000127			H	-1,495.15		MXN		-80.02		USD
		 14	50		A0				S	4001402			H	-62,894.19		MXN		-3,366.08		USD
		 15	40						S	6601050			S	           628.93		MXN		            33.66		USD
		 16	50						S	3000127			H	-628.93		MXN		-33.66		USD
		 17	50		A0				S	4000602			H	-164,014.30		MXN		-8,778.00		USD
		 18	40						S	6601050			S	         1,640.14		MXN		            87.78		USD
		 19	50						S	3000127			H	-1,640.14		MXN		-87.78		USD
		 20	50		A0				S	4001402			H	-4,943.97		MXN		-264.60		USD
		 21	40						S	6601050			S	            49.51		MXN		             2.65		USD
		 22	50						S	3000127			H	-49.51		MXN		-2.65		USD
		 23	50		A0				S	4001402			H	-4,943.97		MXN		-264.60		USD
		 24	40						S	6601050			S	            49.51		MXN		             2.65		USD
		 25	50						S	3000127			H	-49.51		MXN		-2.65		USD
		 26	50		A0				S	4001402			H	-4,284.78		MXN		-229.32		USD
		 27	40						S	6601050			S	            42.79		MXN		             2.29		USD
		 28	50						S	3000127			H	-42.79		MXN		-2.29		USD
		 29	50		A0				S	4001402			H	-4,284.78		MXN		-229.32		USD
		 30	40						S	6601050			S	            42.79		MXN		             2.29		USD
		 31	50						S	3000127			H	-42.79		MXN		-2.29		USD
		 32	50		A0				S	4001402			H	-1,560.55		MXN		-83.52		USD
		 33	40						S	6601050			S	            15.70		MXN		             0.84		USD
		 34	50						S	3000127			H	-15.70		MXN		-0.84		USD
		 35	50		A0				S	4001402			H	-1,560.55		MXN		-83.52		USD
		 36	40						S	6601050			S	            15.70		MXN		             0.84		USD
		 37	50						S	3000127			H	-15.70		MXN		-0.84		USD
		 38	50		A0				S	4001402			H	-1,318.39		MXN		-70.56		USD
		 39	40						S	6601050			S	            13.27		MXN		             0.71		USD
		 40	50						S	3000127			H	-13.27		MXN		-0.71		USD
		 41	50		A0				S	4001402			H	-1,318.39		MXN		-70.56		USD
		 42	40						S	6601050			S	            13.27		MXN		             0.71		USD
		 43	50						S	3000127			H	-13.27		MXN		-0.71		USD
		 44	50		A0				S	4001402			H	-1,560.55		MXN		-83.52		USD
		 45	40						S	6601050			S	            15.70		MXN		             0.84		USD
		 46	50						S	3000127			H	-15.70		MXN		-0.84		USD
		 47	50		A0				S	4001402			H	-1,318.39		MXN		-70.56		USD
		 48	40						S	6601050			S	            13.27		MXN		             0.71		USD
		 49	50						S	3000127			H	-13.27		MXN		-0.71		USD
		 50	50		A0				S	4000602			H	-164,014.30		MXN		-8,778.00		USD
		 51	40						S	6601050			S	         1,640.14		MXN		            87.78		USD
		 52	50						S	3000127			H	-1,640.14		MXN		-87.78		USD
		 53	50		A0				S	4001402			H	-1,318.39		MXN		-70.56		USD
		 54	40						S	6601050			S	            13.27		MXN		             0.71		USD
		 55	50						S	3000127			H	-13.27		MXN		-0.71		USD
		 56	50		A0				S	4001402			H	-69,372.55		MXN		-3,712.80		USD
		 57	40						S	6601050			S	           693.76		MXN		            37.13		USD
		 58	50						S	3000127			H	-693.76		MXN		-37.13		USD
		 59	50		A0				S	4001402			H	-780.27		MXN		-41.76		USD
		 60	40						S	6601050			S	             7.85		MXN		             0.42		USD
		 61	50						S	3000127			H	-7.85		MXN		-0.42		USD

	3800	900014917				RV		02.05.2018			     5	2018		02.05.2018	03.05.2018		SAPBTC_APPL		0082562617
		  1	01		A0		R029		D	29060000			S	       663,487.53		MXN		        35,509.67		USD
		  2	50		A0				S	4000102			H	-452,020.27		MXN		-24,192.00		USD
		  3	40						S	6601050			S	         4,520.20		MXN		           241.92		USD
		  4	50						S	3000127			H	-4,520.20		MXN		-241.92		USD
		  5	50		A0				S	4000102			H	-78,260.49		MXN		-4,188.48		USD
		  6	40						S	6601050			S	           782.52		MXN		            41.88		USD
		  7	50						S	3000127			H	-782.52		MXN		-41.88		USD
		  8	50		A0				S	4000102			H	-78,260.49		MXN		-4,188.48		USD
		  9	40						S	6601050			S	           782.52		MXN		            41.88		USD
		 10	50						S	3000127			H	-782.52		MXN		-41.88		USD
		 11	50		A0				S	4000302			H	-328.85		MXN		-17.60		USD
		 12	40						S	6601050			S	             3.36		MXN		             0.18		USD
		 13	50						S	3000127			H	-3.36		MXN		-0.18		USD
		 14	50		A0				S	4000302			H	-765.14		MXN		-40.95		USD
		 15	40						S	6601050			S	             7.66		MXN		             0.41		USD
		 16	50						S	3000127			H	-7.66		MXN		-0.41		USD
		 17	50		A0				S	4000302			H	-361.74		MXN		-19.36		USD
		 18	40						S	6601050			S	             3.55		MXN		             0.19		USD
		 19	50						S	3000127			H	-3.55		MXN		-0.19		USD
		 20	50		A0				S	4000302			H	-345.29		MXN		-18.48		USD
		 21	40						S	6601050			S	             3.36		MXN		             0.18		USD
		 22	50						S	3000127			H	-3.36		MXN		-0.18		USD
		 23	50		A0				S	4000302			H	-680.12		MXN		-36.40		USD
		 24	40						S	6601050			S	             6.73		MXN		             0.36		USD
		 25	50						S	3000127			H	-6.73		MXN		-0.36		USD
		 26	50		A0				S	4000302			H	-213.75		MXN		-11.44		USD
		 27	40						S	6601050			S	             2.06		MXN		             0.11		USD
		 28	50						S	3000127			H	-2.06		MXN		-0.11		USD
		 29	50		A0				S	4000302			H	-850.15		MXN		-45.50		USD
		 30	40						S	6601050			S	             8.59		MXN		             0.46		USD
		 31	50						S	3000127			H	-8.59		MXN		-0.46		USD
		 32	50		A0				S	4000302			H	-374.07		MXN		-20.02		USD
		 33	40						S	6601050			S	             3.74		MXN		             0.20		USD
		 34	50						S	3000127			H	-3.74		MXN		-0.20		USD
		 35	50		A0				S	4000102			H	-46,659.43		MXN		-2,497.20		USD
		 36	40						S	6601050			S	           466.56		MXN		            24.97		USD
		 37	50						S	3000127			H	-466.56		MXN		-24.97		USD
		 38	50		A0				S	4000102			H	-2,008.98		MXN		-107.52		USD
		 39	40						S	6601050			S	            20.18		MXN		             1.08		USD
		 40	50						S	3000127			H	-20.18		MXN		-1.08		USD
		 41	50		A0				S	4000102			H	-2,358.76		MXN		-126.24		USD
		 42	40						S	6601050			S	            23.54		MXN		             1.26		USD
		 43	50						S	3000127			H	-23.54		MXN		-1.26		USD

	3800	900015022				RV		03.05.2018			     5	2018		03.05.2018	04.05.2018		SAPBTC_APPL		0082563958
		  1	01		A0		R029		D	29060000			S	       967,467.23		MXN		        51,778.58		USD
		  2	50		A0				S	4000102			H	-188,018.91		MXN		-10,062.72		USD
		  3	40						S	6601050			S	         1,880.24		MXN		           100.63		USD
		  4	50						S	3000127			H	-1,880.24		MXN		-100.63		USD
		  5	50		A0				S	4000102			H	-29,901.50		MXN		-1,600.32		USD
		  6	40						S	6601050			S	           298.96		MXN		            16.00		USD
		  7	50						S	3000127			H	-298.96		MXN		-16.00		USD
		  8	50		A0				S	4000102			H	-179,408.99		MXN		-9,601.92		USD
		  9	40						S	6601050			S	         1,794.10		MXN		            96.02		USD
		 10	50						S	3000127			H	-1,794.10		MXN		-96.02		USD
		 11	50		A0				S	4001402			H	-63,832.91		MXN		-3,416.32		USD
		 12	40						S	6601050			S	           638.27		MXN		            34.16		USD
		 13	50						S	3000127			H	-638.27		MXN		-34.16		USD
		 14	50		A0				S	4000602			H	-164,014.30		MXN		-8,778.00		USD
		 15	40						S	6601050			S	         1,640.14		MXN		            87.78		USD
		 16	50						S	3000127			H	-1,640.14		MXN		-87.78		USD
		 17	50		A0				S	4001402			H	-4,943.97		MXN		-264.60		USD
		 18	40						S	6601050			S	            49.51		MXN		             2.65		USD
		 19	50						S	3000127			H	-49.51		MXN		-2.65		USD
		 20	50		A0				S	4001402			H	-4,943.97		MXN		-264.60		USD
		 21	40						S	6601050			S	            49.51		MXN		             2.65		USD
		 22	50						S	3000127			H	-49.51		MXN		-2.65		USD
		 23	50		A0				S	4001402			H	-4,284.78		MXN		-229.32		USD
		 24	40						S	6601050			S	            42.79		MXN		             2.29		USD
		 25	50						S	3000127			H	-42.79		MXN		-2.29		USD
		 26	50		A0				S	4001402			H	-4,284.78		MXN		-229.32		USD
		 27	40						S	6601050			S	            42.79		MXN		             2.29		USD
		 28	50						S	3000127			H	-42.79		MXN		-2.29		USD
		 29	50		A0				S	4001402			H	-780.27		MXN		-41.76		USD
		 30	40						S	6601050			S	             7.85		MXN		             0.42		USD
		 31	50						S	3000127			H	-7.85		MXN		-0.42		USD
		 32	50		A0				S	4001402			H	-780.27		MXN		-41.76		USD
		 33	40						S	6601050			S	             7.85		MXN		             0.42		USD
		 34	50						S	3000127			H	-7.85		MXN		-0.42		USD
		 35	50		A0				S	4001402			H	-1,318.39		MXN		-70.56		USD
		 36	40						S	6601050			S	            13.27		MXN		             0.71		USD
		 37	50						S	3000127			H	-13.27		MXN		-0.71		USD
		 38	50		A0				S	4001402			H	-1,318.39		MXN		-70.56		USD
		 39	40						S	6601050			S	            13.27		MXN		             0.71		USD
		 40	50						S	3000127			H	-13.27		MXN		-0.71		USD
		 41	50		A0				S	4001402			H	-1,560.55		MXN		-83.52		USD
		 42	40						S	6601050			S	            15.70		MXN		             0.84		USD
		 43	50						S	3000127			H	-15.70		MXN		-0.84		USD
		 44	50		A0				S	4001402			H	-1,318.39		MXN		-70.56		USD
		 45	40						S	6601050			S	            13.27		MXN		             0.71		USD
		 46	50						S	3000127			H	-13.27		MXN		-0.71		USD
		 47	50		A0				S	4000302			H	-104,624.98		MXN		-5,599.50		USD
		 48	40						S	6601050			S	         1,046.34		MXN		            56.00		USD
		 49	50						S	3000127			H	-1,046.34		MXN		-56.00		USD
		 50	50		A0				S	4001402			H	-72,574.36		MXN		-3,884.16		USD
		 51	40						S	6601050			S	           725.71		MXN		            38.84		USD
		 52	50						S	3000127			H	-725.71		MXN		-38.84		USD
		 53	50		A0				S	4000602			H	-136,678.58		MXN		-7,315.00		USD
		 54	40						S	6601050			S	         1,366.79		MXN		            73.15		USD
		 55	50						S	3000127			H	-1,366.79		MXN		-73.15		USD
		 56	50		A0				S	4001402			H	-1,560.55		MXN		-83.52		USD
		 57	40						S	6601050			S	            15.70		MXN		             0.84		USD
		 58	50						S	3000127			H	-15.70		MXN		-0.84		USD
		 59	50		A0				S	4001402			H	-1,318.39		MXN		-70.56		USD
		 60	40						S	6601050			S	            13.27		MXN		             0.71		USD
		 61	50						S	3000127			H	-13.27		MXN		-0.71		USD

	3800	900015169				RV		04.05.2018			     5	2018		04.05.2018	05.05.2018		SAPBTC_APPL		0082565176
		  1	01		A0		R029		D	29060000			S	       871,209.52		MXN		        45,626.68		USD
		  2	50		A0				S	4000102			H	-30,557.01		MXN		-1,600.32		USD
		  3	40						S	6601050			S	           305.51		MXN		            16.00		USD
		  4	50						S	3000127			H	-305.51		MXN		-16.00		USD
		  5	50		A0				S	4000302			H	-142,558.04		MXN		-7,466.00		USD
		  6	40						S	6601050			S	         1,425.58		MXN		            74.66		USD
		  7	50						S	3000127			H	-1,425.58		MXN		-74.66		USD
		  8	50		A0				S	4001402			H	-70,893.32		MXN		-3,712.80		USD
		  9	40						S	6601050			S	           708.97		MXN		            37.13		USD
		 10	50						S	3000127			H	-708.97		MXN		-37.13		USD
		 11	50		A0				S	4000102			H	-128,093.73		MXN		-6,708.48		USD
		 12	40						S	6601050			S	         1,280.85		MXN		            67.08		USD
		 13	50						S	3000127			H	-1,280.85		MXN		-67.08		USD
		 14	50		A0				S	4000102			H	-32,023.43		MXN		-1,677.12		USD
		 15	40						S	6601050			S	           320.21		MXN		            16.77		USD
		 16	50						S	3000127			H	-320.21		MXN		-16.77		USD
		 17	50		A0				S	4000102			H	-152,784.95		MXN		-8,001.60		USD
		 18	40						S	6601050			S	         1,527.93		MXN		            80.02		USD
		 19	50						S	3000127			H	-1,527.93		MXN		-80.02		USD
		 20	50		A0				S	4001402			H	-62,354.35		MXN		-3,265.60		USD
